--- Log Iniciado em 2026-02-09 09:41:57.200205 ---
Instance: TSP_50_cities, Run: 1/1
pool NEW BEST: 2819.1525865793205 - Time: 0.04s - 0
pool NEW BEST: 2552.348104728604 - Time: 0.07s - 1
pool NEW BEST: 2426.488973207201 - Time: 0.11s - 2
pool NEW BEST: 2323.42634550393 - Time: 0.36s - 9
pool NEW BEST: 2199.744796721585 - Time: 0.56s - 19
SA 0 NEW BEST: 744.3882162534517 - Time: 4.42s - 20
SA 0 NEW BEST: 743.3701951570469 - Time: 4.43s - 20
SA 0 NEW BEST: 738.4612339917722 - Time: 4.47s - 20
SA 0 NEW BEST: 727.2382489761943 - Time: 4.77s - 20
SA 0 NEW BEST: 726.3758954087399 - Time: 4.78s - 20
SA 0 NEW BEST: 726.237808623628 - Time: 4.78s - 20
SA 0 NEW BEST: 723.0865295053259 - Time: 4.8s - 20
SA 0 NEW BEST: 723.0865295053258 - Time: 4.81s - 20
SA 0 NEW BEST: 721.9529041878726 - Time: 4.85s - 20
SA 0 NEW BEST: 713.1733794876901 - Time: 4.86s - 20
SA 0 NEW BEST: 698.8105592016126 - Time: 4.87s - 20
SA 0 NEW BEST: 698.5822702512679 - Time: 4.87s - 20
SA 0 NEW BEST: 698.5822702512678 - Time: 4.88s - 20
SA 0 NEW BEST: 697.1597622255484 - Time: 4.92s - 20
SA 0 NEW BEST: 689.5805352823104 - Time: 5.14s - 20
VNS 1 NEW BEST: 653.6783966072223 - Time: 5.55s - 20
SA 0 NEW BEST: 648.6443699101358 - Time: 8.24s - 20
SA 0 NEW BEST: 647.8365570035706 - Time: 9.86s - 20
ILS 2 NEW BEST: 643.7939454031986 - Time: 10.05s - 20
ILS 2 NEW BEST: 643.7041318794392 - Time: 10.1s - 20
VNS 1 NEW BEST: 643.704131879439 - Time: 14.44s - 20
VNS 1 NEW BEST: 639.9112121764958 - Time: 15.65s - 20
ILS 2 NEW BEST: 634.8100284121604 - Time: 15.68s - 20
Process 26404 timed out and will be terminated.
10, TSP_50_cities, 634.81, [np.float64(634.81)], 15.68, [15.68]
